State,City,Header,Description,Link
California,Los Angeles,600 West 7th Street (LAX10),Digital Realty600 West 7th Street90017 Los Angeles,/usa/california/los-angeles/600-west-7th-street/
California,Los Angeles,2260 E El Segundo Blvd (LAX12),Digital Realty2260 East El Segundo Boulevard90245 El Segundo,/usa/california/los-angeles/2260-e-el-segundo/
California,Los Angeles,Centersquare Irvine,Centersquare2681 Kelvin Ave92614 Irvine,/usa/california/los-angeles/evoque-lax2/
California,Los Angeles,Hivelocity - Los Angeles 2,Hivelocity600 W. 7th St90017 Los Angeles,/usa/california/los-angeles/la2/
California,Los Angeles,Hivelocity - Los Angeles 1,Hivelocity624 S Grand Ave90017 Los Angeles,/usa/california/los-angeles/rackalley-la1/
California,Los Angeles,West 7 Center,Rising Realty Partners1200 West 7th Street90017 Los Angeles,/usa/california/los-angeles/the-garland-building/
California,Los Angeles,One Wilshire,GI Property Management624 South Grand Avenue90017 Los Angeles,/usa/california/los-angeles/one-wilshire-building/
California,Los Angeles,Colocation America LADC3,Colocation America600 W. 7th St90017 Los Angeles,/usa/california/los-angeles/colocation-america-600w-7th/
California,Los Angeles,Equinix LA2,Equinix818 W 7th Street90017 Los Angeles,/usa/california/los-angeles/equinix-los-angeles2/
California,Los Angeles,Evocative LAX14,Evocative Data Centers3690 Redondo Beach Avenue90278 Redondo Beach,/usa/california/los-angeles/internap-los-angeles/
California,Los Angeles,Colocation America LADC4,Colocation America530 W. 6th St90017 Los Angeles,/usa/california/los-angeles/colocation-america-telecom-center/
California,Los Angeles,TELEHOUSE Los Angeles Center,Telehouse America626 Wilshire Boulevard90017 Los Angeles,/usa/california/los-angeles/telehouse-los-angeles/
California,Los Angeles,Evocative LAX2,Evocative Data Centers600 W 7th Street90017 Los Angeles,/usa/california/los-angeles/la2-los-angles-evocative-dc/
California,Los Angeles,Colocation America LADC2,Colocation America707 Wilshire Blvd90017 Los Angeles,/usa/california/los-angeles/colocation-america-aon-center/
California,Los Angeles,Colocation America LADC5,Colocation America650 S. Grand Ave90017 Los Angeles,/usa/california/los-angeles/colocation-america-quinby/
California,Los Angeles,CoreSite One Wilshire (LA1),CoreSite624 South Grand Avenue90017 Los Angeles,/usa/california/los-angeles/one-wilshire/
California,Los Angeles,Crown Castle LA1,CROWN CASTLE624 S Grand Ave90017 Los Angeles,/usa/california/los-angeles/ix2-networks/
California,Los Angeles,Serverfarm LAX1,Serverfarm444 North Nash Street90245 El Segundo,/usa/california/los-angeles/t5-el-segundo/
California,Los Angeles,Prime Los Angeles,Prime Data Centers4701 S Santa Fe Ave90058 Vernon,/usa/california/los-angeles/prime-los-angeles/
California,Los Angeles,CoreSite Los Angeles (LA2),CoreSite900 North Alameda90017 Los Angeles,/usa/california/los-angeles/wilshire-annex/
California,Los Angeles,Centersquare - Los Angeles LAX2,Centersquare3015 Winona Avenue91504 Burbank,/usa/california/los-angeles/cyxtera-lax2a/
California,Los Angeles,Centersquare - Los Angeles LAX1,Centersquare200 N. Nash St90245 El Segundo,/usa/california/los-angeles/cyxtera-lax1a/
California,Los Angeles,Crown Castle LA2,CROWN CASTLE609 W 7th St90017 Los Angeles,/usa/california/los-angeles/ix2-networks-530-w-6th/
California,Los Angeles,Xfernet Data Center,Xfernet3250 Wilshire Blvd90010 Koreatown,/usa/california/los-angeles/xfernet-data-center/
California,Los Angeles,DataBank LAX1 - LA One Wilshire,DataBank624 South Grand Avenue90017 Los Angeles,/usa/california/los-angeles/databank-lax1/
California,Los Angeles,365 Data Centers - Los Angeles 1,365 Data Centers600 W 7th St.90017 Los Angeles,/usa/california/los-angeles/inforelay-lax1/
California,Los Angeles,CoreSite Los Angeles (LA3),CoreSite260 Bauchet St.90012 Los Angeles,/usa/california/los-angeles/coresite-los-angeles-la3/
California,Los Angeles,Colocation America LADC1,Colocation America624 South Grand Avenue90017 Los Angeles,/usa/california/los-angeles/colocation-america-ladc1/
California,Los Angeles,"CalPOP.com, Inc.",Calpop.com600 W 7th Street90017 Los Angeles,/usa/california/los-angeles/calpopcom-inc/
California,Los Angeles,Equinix LA7,Equinix1501 Francisco Street90501 Torrance,/usa/california/los-angeles/equinix-la7/
California,Los Angeles,Crown Castle LA3,CROWN CASTLE530 W 6th St90017 Los Angeles,/usa/california/los-angeles/wilcon/
California,Los Angeles,Key Info (Agoura Ct),Key Information Systems30077 Agoura Ct91301 Agoura Hills,/usa/california/los-angeles/is-west-agoura-ct/
California,Los Angeles,365 Data Centers - Los Angeles 3,365 Data Centers900 N. Alameda St90012 Los Angeles,/usa/california/los-angeles/inforelay-lax3/
California,Los Angeles,Equinix LA3,Equinix1920 E Maple Ave90245 El Segundo,/usa/california/los-angeles/equinix-la3/
California,Los Angeles,365 Data Centers - Los Angeles 2,365 Data Centers624 South Grand Ave90017 Los Angeles,/usa/california/los-angeles/inforelay-lax2/
California,Los Angeles,Lumen Los Angeles,Lumen818 W. 7th Street90017 Los Angeles,/usa/california/los-angeles/level-3-los-angeles/
California,Los Angeles,Equinix LA1,Equinix600 West 7th Street90017 Los Angeles,/usa/california/los-angeles/switch-data-los-angeles/
California,Los Angeles,Marina Towers,"DigiLink, Inc.4676 Admiralty Way90292 Marina Del Rey",/usa/california/los-angeles/mdr1/
California,Los Angeles,QuadraNet Los Angeles,QuadraNet.com530 W. 6th St.90014 Los Angeles,/usa/california/los-angeles/quadranet-los-angeles/
California,Los Angeles,Psychz LA Suite 100 & 200,Psychz Networks700 Wilshire Blvd90017 Los Angeles,/usa/california/los-angeles/psla-data-center/
California,Los Angeles,Aptum Los Angeles,Aptum360 E 2nd Street90017 Los Angeles,/usa/california/los-angeles/peer-1-los-angeles/
California,Los Angeles,Downtown Colo Corporation,Downtown Colo Corporation650 South Grand Avenue90017 Los Angeles,/usa/california/los-angeles/downtown-colo-corporation/
California,Los Angeles,Black Lotus LA2,"Black Lotus Communications900 N. Alameda Ave, #13990012 Los Angeles",/usa/california/los-angeles/black-lotus-la2/
California,Los Angeles,Lumen Los Angeles 4,Lumen600 Wilshire Blvd90017 Los Angeles,/usa/california/los-angeles/level3-los-angeles4/
California,Los Angeles,Cogent Los Angeles,"Cogent Communications, Inc.530 W 6th St90017 Los Angeles",/usa/california/los-angeles/cogent-los-angeles/
California,Los Angeles,Cogent Pasadena,"Cogent Communications, Inc.2947  Bradley Street91107 Pasadena",/usa/california/los-angeles/cogent-pasadena/
California,Los Angeles,Carrier Center,ColoLocker600 west 7th St. #35090017 Los Angeles,/usa/california/los-angeles/cyberverse-lax01/
California,Los Angeles,DataBank - zColo - 707 Wilshire Blvd,DataBank707 Wilshire Blvd90017 Los Angeles,/usa/california/los-angeles/zcolo-707-wilshireblvd/
California,Los Angeles,PacificRack,"PacificRack, Inc609 W 7th St90017 Los Angeles",/usa/california/los-angeles/pacificrack/
California,Los Angeles,NetDC LAX6 Data Center,"Net Data Centers, Inc.600 West 7th Street90017 Los Angeles",/usa/california/los-angeles/net2ez-lax6/
California,Los Angeles,NetDC LAX4 Data Center,"Net Data Centers, Inc.2260 E El Segundo Blvd90245 El Segundo",/usa/california/los-angeles/net2ez-managed-data-centers/
California,Los Angeles,LAX Data Center,"Alchemy Communications, Inc.6171 West Century Blvd90045 Los Angeles",/usa/california/los-angeles/lax-datacenter/
California,Los Angeles,One Data Center America,One Data Center America3833 Ebony St91761 Ontario,/usa/california/los-angeles/datacenter-america/
