State,City,Operator,Header,Address,lat,lng,Link
California,Los Angeles,Digital Realty,600 West 7th Street (LAX10),"600 West 7th Street, Los Angeles, CA 90017",34.0475197,-118.2572167,/usa/california/los-angeles/600-west-7th-street/
California,Los Angeles,Digital Realty,2260 E El Segundo Blvd (LAX12),"2260 East El Segundo Boulevard, El Segundo, CA 90245",33.9156634,-118.38472,/usa/california/los-angeles/2260-e-el-segundo/
California,Los Angeles,Centersquare,Centersquare Irvine,"2681 Kelvin Ave, Irvine, CA 92614",33.6846747,-117.8368209,/usa/california/los-angeles/evoque-lax2/
California,Los Angeles,Hivelocity,Hivelocity - Los Angeles 2,"600 W. 7th St, Los Angeles, CA 90017",34.0475197,-118.2572167,/usa/california/los-angeles/la2/
California,Los Angeles,Hivelocity,Hivelocity - Los Angeles 1,"624 S Grand Ave, Los Angeles, CA 90017",34.0479477,-118.2553576,/usa/california/los-angeles/rackalley-la1/
California,Los Angeles,Rising Realty Partners,West 7 Center,"1200 West 7th Street, Los Angeles, CA 90017",34.0513023,-118.2658542,/usa/california/los-angeles/the-garland-building/
California,Los Angeles,GI Property Management,One Wilshire,"624 South Grand Avenue, Los Angeles, CA 90017",34.0479477,-118.2553576,/usa/california/los-angeles/one-wilshire-building/
California,Los Angeles,Colocation America,Colocation America LADC3,"600 W. 7th St, Los Angeles, CA 90017",34.0475197,-118.2572167,/usa/california/los-angeles/colocation-america-600w-7th/
California,Los Angeles,Equinix,Equinix LA2,"818 W 7th Street, Los Angeles, CA 90017",34.0488973,-118.2595846,/usa/california/los-angeles/equinix-los-angeles2/
California,Los Angeles,Evocative Data Centers,Evocative LAX14,"3690 Redondo Beach Avenue, Redondo Beach, CA 90278",33.8892478,-118.3687331,/usa/california/los-angeles/internap-los-angeles/
California,Los Angeles,Colocation America,Colocation America LADC4,"530 W. 6th St, Los Angeles, CA 90017",34.0483363,-118.2550835,/usa/california/los-angeles/colocation-america-telecom-center/
California,Los Angeles,Telehouse America,TELEHOUSE Los Angeles Center,"626 Wilshire Boulevard, Los Angeles, CA 90017",34.0482582,-118.2570021,/usa/california/los-angeles/telehouse-los-angeles/
California,Los Angeles,Evocative Data Centers,Evocative LAX2,"600 W 7th Street, Los Angeles, CA 90017",34.0475197,-118.2572167,/usa/california/los-angeles/la2-los-angles-evocative-dc/
